DiseaseName,DiseaseID,Sourse
10p Deletion Syndrome (Partial),MESH:C538288,CTD
13q deletion syndrome,MESH:C535484,CTD
15q24 Microdeletion,MESH:C579849,CTD
16p11.2 Deletion Syndrome,MESH:C579850,CTD
"17,20-Lyase Deficiency, Isolated",MESH:C567076,CTD
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,CTD
18-Hydroxylase deficiency,MESH:C537806,CTD
22q11 Deletion Syndrome,MESH:D058165,CTD
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,CTD
2-hydroxyethyl methacrylate sensitization,MESH:C535305,CTD
2-Hydroxyglutaricaciduria,MESH:C535306,CTD
2-Methylacetoacetyl CoA thiolase deficiency,MESH:C535307,CTD
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,CTD
3b-Hydroxysteroid Dehydrogenase Deficiency,MESH:C579862,CTD
3C syndrome,MESH:C535313,CTD
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,CTD
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,CTD
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,CTD
3-Hydroxyisobutyric aciduria,MESH:C535312,CTD
3-methylcrotonyl CoA carboxylase 1 deficiency,MESH:C535308,CTD
3-methylcrotonyl CoA carboxylase 2 deficiency,MESH:C535309,CTD
3-Methylglutaconic Aciduria,MESH:C579867,CTD
"3-Methylglutaconic Aciduria, Type I",MESH:C562801,CTD
3-Methylglutaconic Aciduria Type IV,MESH:C565393,CTD
"3-Methylglutaconic Aciduria, Type V",MESH:C565706,CTD
"46, XX Disorders of Sex Development",MESH:D058489,CTD
"46,XX Gonadal dysgenesis epibulbar dermoid",MESH:C535316,CTD
"46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal",MESH:C567597,CTD
"46,XX SEX REVERSAL 1",OMIM:400045,CTD
"46,XX SEX REVERSAL 2",OMIM:278850,CTD
"46,XX SEX REVERSAL 3",OMIM:300833,CTD
"46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS",OMIM:611812,CTD
"46, XX Testicular Disorders of Sex Development",MESH:D058531,CTD
"46, XY Disorders of Sex Development",MESH:D058490,CTD
"46, XY female",MESH:C536769,CTD
"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",MESH:C565537,CTD
"46,Xy Gonadal Dysgenesis, Complete, Sry-Related",MESH:C567574,CTD
"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy",MESH:C567773,CTD
"46,XY SEX REVERSAL 1",OMIM:400044,CTD
"46,XY Sex Reversal 4",MESH:C567887,CTD
"46, XY Sex Reversal 5",MESH:C567766,CTD
"46,Xy True Hermaphroditism, Sry-Related",MESH:C567575,CTD
"47, XYY syndrome",MESH:C535317,CTD
"49,XXXXX syndrome",MESH:C535319,CTD
4-hydroxyphenylacetic aciduria,MESH:C535315,CTD
5 alpha Fluorouracil toxicity,MESH:C531667,CTD
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR,OMIM:143460,CTD
5-Nucleotidase syndrome,MESH:C535321,CTD
5-oxoprolinase deficiency,MESH:C535322,CTD
6-Phosphogluconolactonase Deficiency,MESH:C566803,CTD
6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,CTD
6q24-Related Transient Neonatal Diabetes Mellitus,MESH:C579872,CTD
"6q+ Syndrome, Partial",MESH:C537810,CTD
7p2 monosomy syndrome,MESH:C537818,CTD
9q22.3 Microdeletion,MESH:C579873,CTD
Aagenaes syndrome,MESH:C535330,CTD
Aarskog Syndrome,MESH:C535331,CTD
"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",OMIM:100050,CTD
